Player,Team,Pos,Rank,Risk,FP,FireFactor
Dan Carpenter,BUF,K,#19 K,Low,120.5,-0.54
Heath Miller,PIT,TE,#15 TE,Low,78.3,-0.55
St. Louis D/ST,STL,D,#15 D,Low,136.38,-0.56
Jacksonville D/ST,JAC,D,#16 D,Low,136.09,-0.62
Chandler Catanzaro,ARI,K,#20 K,Low,118.99,-0.69
Minnesota D/ST,MIN,D,#17 D,Low,135.54,-0.73
Cairo Santos,KC,K,#21 K,Low,118.35,-0.75
Garrett Hartley,PIT,K,#22 K,Low,116.5,-0.94
Reggie Bush,SF,RB,#43 RB,Moderate,77.91,-0.97
Mike Nugent,CIN,K,#23 K,Low,114.74,-1.11
Tampa Bay D/ST,TB,D,#18 D,Low,133.66,-1.11
Phil Dawson,SF,K,#24 K,Low,114.72,-1.12
Kai Forbath,WSH,K,#25 K,Low,114.32,-1.16
Robbie Gould,CHI,K,#26 K,Low,113.7,-1.22
Nick Folk,NYJ,K,#27 K,Low,113.54,-1.23
New York Jets D/ST,NYJ,D,#19 D,Low,132.3,-1.38
Matt Prater,DET,K,#28 K,Low,111.46,-1.44
Blair Walsh,MIN,K,#29 K,Low,111.22,-1.47
Greg Zuerlein,STL,K,#30 K,Low,111.06,-1.48
Tennessee D/ST,TEN,D,#20 D,Low,131.74,-1.49
DeVante Parker,MIA,WR,#58 WR,Low,82.24,-1.51
Cleveland D/ST,CLE,D,#21 D,Low,130.37,-1.77
Carey Spear,CLE,K,#31 K,Low,107.71,-1.82
Josh Scobee,JAC,K,#32 K,Low,106.74,-1.91
San Diego D/ST,SD,D,#22 D,Low,128.86,-2.07
San Francisco D/ST,SF,D,#23 D,Low,128.73,-2.09
New England D/ST,NE,D,#24 D,Low,128.6,-2.12
New Orleans D/ST,NO,D,#25 D,Low,127.92,-2.26
Green Bay D/ST,GB,D,#26 D,Low,127.24,-2.39
Chicago D/ST,CHI,D,#27 D,Low,123.65,-3.11
Allen Hurns,JAC,WR,#59 WR,Low,80.51,-3.24
Jordan Cameron,MIA,TE,#16 TE,Moderate,75.57,-3.28
Terrance West,CLE,RB,#44 RB,Low,75.55,-3.33
New York Giants D/ST,NYG,D,#28 D,Low,122.02,-3.44
Danny Woodhead,SD,RB,#45 RB,Low,75.09,-3.79
Atlanta D/ST,ATL,D,#29 D,Low,119.88,-3.86
Denard Robinson,JAC,RB,#46 RB,Low,74.96,-3.92
James Starks,GB,RB,#47 RB,Low,74.91,-3.97
Pittsburgh D/ST,PIT,D,#30 D,Low,119.06,-4.03
Percy Harvin,BUF,WR,#60 WR,High,79.62,-4.13
Michael Crabtree,OAK,WR,#61 WR,Low,79.53,-4.22
Jerricho Cotchery,CAR,WR,#62 WR,Low,79.01,-4.74
Oakland D/ST,OAK,D,#31 D,Low,115.06,-4.83
Marvin Jones,CIN,WR,#63 WR,Low,78.31,-5.44
Rueben Randle,NYG,WR,#64 WR,Low,78.02,-5.73
David Cobb,TEN,RB,#48 RB,Low,72.69,-6.19
Washington D/ST,WSH,D,#32 D,Low,107.14,-6.41
Charles Clay,BUF,TE,#17 TE,Low,71.79,-7.06
Knile Davis,KC,RB,#49 RB,Low,71.38,-7.5
Kyle Rudolph,MIN,TE,#18 TE,High,70.69,-8.16
Darren McFadden,DAL,RB,#50 RB,Moderate,70.53,-8.35
Larry Donnell,NYG,TE,#19 TE,Low,70.29,-8.56
Jermaine Kearse,SEA,WR,#65 WR,Low,75.11,-8.64
Andy Dalton,CIN,QB,#20 QB,Low,221.63,-8.68
Marcus Mariota,TEN,QB,#21 QB,Low,221.4,-8.91
Robert Griffin III,WSH,QB,#22 QB,High,220.92,-9.39
Alex Smith,KC,QB,#23 QB,Low,220.22,-10.09
Darren Sproles,PHI,RB,#51 RB,Moderate,68.69,-10.19
Tyler Eifert,CIN,TE,#20 TE,Low,68.1,-10.75
Cecil Shorts,HOU,WR,#66 WR,Moderate,72.55,-11.2
Tom Brady,NE,QB,#24 QB,Moderate,218.96,-11.35
Steve Johnson,SD,WR,#67 WR,Low,71.6,-12.15
Nick Foles,STL,QB,#25 QB,Moderate,217.69,-12.62
David Johnson,ARI,RB,#52 RB,Low,65.93,-12.95
Benny Cunningham,STL,RB,#53 RB,Low,65.54,-13.34
Richard Rodgers,GB,TE,#21 TE,Low,65.39,-13.46
Ronnie Hillman,DEN,RB,#54 RB,Moderate,65.2,-13.68
Maxx Williams,BAL,TE,#22 TE,Low,63.7,-15.15
Austin Seferian-Jenkins,TB,TE,#23 TE,Low,63.57,-15.28
Mychal Rivera,OAK,TE,#24 TE,Low,63.45,-15.4
Cole Beasley,DAL,WR,#68 WR,Low,68.32,-15.43
Dan Herron,IND,RB,#55 RB,Low,62.77,-16.11
Robert Turbin,SEA,RB,#56 RB,Low,62.66,-16.22
Jay Ajayi,MIA,RB,#57 RB,Low,62.65,-16.23
Brent Celek,PHI,TE,#25 TE,Low,62.15,-16.7
Garrett Graham,HOU,TE,#26 TE,Low,61.68,-17.17
Lorenzo Taliaferro,BAL,RB,#58 RB,Low,61.58,-17.3
Jeff Janis,GB,WR,#69 WR,Low,65.71,-18.04
Vernon Davis,SF,TE,#27 TE,Moderate,60.44,-18.41
Kendall Hunter,SF,RB,#59 RB,Low,60.27,-18.61
Markus Wheaton,PIT,WR,#70 WR,Low,65.1,-18.65
Matt Jones,WSH,RB,#60 RB,Low,60.22,-18.66
Marqise Lee,JAC,WR,#71 WR,Low,65.04,-18.71
DeAngelo Williams,PIT,RB,#61 RB,Low,60.03,-18.85
Benjamin Watson,NO,TE,#28 TE,Low,59.21,-19.64
Andrew Quarless,GB,TE,#29 TE,Low,59.1,-19.75
