PaulRichardson,WR,29.5
NateWashington,WR,29.5
HarryDouglas,WR,29.3
MalcolmMitchell,WR,29.2
KennyBell,WR,28.7
De'AnthonyThomas,WR,28.6
JeffJanis,WR,27.6
MarquiseGoodwin,WR,26.8
ChrisGivens,WR,26.3
AaronDobson,WR,26.1
RodStreater,WR,24.5
JordanNorwood,WR,24.2
RyanGrant,WR,22.8
TaylorGabriel,WR,22.8
TyMontgomery,WR,22.6
QuanBray,WR,22.4
DevinSmith,WR,21.8
NelsonSpruce,WR,20.8
DarrenWaller,WR,20.6
JustinHunter,WR,20.5
DeAndreSmelter,WR,20.4
LouisMurphy,WR,20
JaredAbbrederis,WR,19.9
JeromeSimpson,WR,19.8
ChrisMoore,WR,19.7
TJJones,WR,19.7
RashardHiggins,WR,19.6
CordarrellePatterson,WR,19.3
DeAndrewWhite,WR,19
JeremyButler,WR,17.9
JaronBrown,WR,17.8
KenbrellThompkins,WR,17.7
MichaelCampanaro,WR,16.8
ChrisMatthews,WR,16.7
MikeThomas,WR,16.6
NickWilliams,WR,15.7
DezminLewis,WR,15.4
JoshBellamy,WR,14.2
KeenanReynolds,WR,13.9
MikeThomas,WR,13.9
DemarcusRobinson,WR,13.8
AldrickRobinson,WR,13.4
DevinHester,WR,13.3
KeshawnMartin,WR,12.9
GregSalas,WR,12.8
BrentonBersin,WR,12.7
DevinStreet,WR,11.4
JarrettBoykin,WR,11.4
BryanWalters,WR,11.2
TyreekHill,WR,10.9
KennyLawler,WR,10.4
JakeKumerow,WR,10.1
EvanSpencer,WR,9.6
RussellShepard,WR,9.3
CharonePeake,WR,9
HakeemNicks,WR,8.9
MylesWhite,WR,8.8
GriffWhalen,WR,8.8
LuckyWhitehead,WR,8.8
BrandonTate,WR,8.5
NealSterling,WR,8.4
TavarresKing,WR,8.4
KeithMumphery,WR,8.3
KolbyListenbee,WR,8.2
RashadRoss,WR,8
DevinFuller,WR,7.8
TreMcBride,WR,7.7
VinceMayle,WR,7.6
VincentBrown,WR,7.5
DresAnderson,WR,7.3
GeremyDavis,WR,7.3
MarcusEasley,WR,7.2
JakeemGrant,WR,7.2
MarquezNorth,WR,7.2
JamesWright,WR,6.9
BrianTyms,WR,6.8
MarcMariani,WR,6.8
AndreDebose,WR,6.8
KevinSmith,WR,6.3
MarioAlford,WR,6.2
WalterPowell,WR,6.1
DeonteThompson,WR,6
StephenHill,WR,5.8
KevinNorwood,WR,5.8
JavonteeHerndon,WR,5.5
DeVierPosey,WR,5.5
KaelinClay,WR,5.4
JordanPayton,WR,5.4
MarlonMoore,WR,5.4
JeremyRoss,WR,5.3
RogerLewis,WR,4.7
DonteeaDye,WR,4.7
AaronBurbridge,WR,4.5
AdamThielen,WR,4.5
AndreCaldwell,WR,4.3
EricWeems,WR,4.3
MattHazel,WR,4.2
CoreyFuller,WR,4.2
KeyarrisGarrett,WR,4
BradleyMarquez,WR,3.8
RicardoLouis,WR,2.8
CodyCore,WR,2.7
TrevorDavis,WR,2.6
CameronMeredith,WR,2.2
DariusJennings,WR,1.9
MoritzBoehringer,WR,1.8
DanielBraverman,WR,1.7
DevinLucien,WR,1.2
FrankieHammond,WR,0.9
DemarcusAyers,WR,0.9
BrittanGolden,WR,0.7
AndrewTurzilli,WR,0.7
DanielBrown,WR,0.6
GregLittle,WR,0.5
SethDeValve,WR,0.4
JonathanKrause,WR,0.2
TreyBurton,WR,0.1
LaRonByrd,WR,0
MarcusLucas,WR,0
BrianHartline,WR,0
MattSlater,WR,0
IfeanyiMomah,WR,0
RodneySmith,WR,0
LanceMoore,WR,0
JustinBlackmon,WR,0
ArreliousBenn,WR,0
KashifMoore,WR,0
Da'RonBrown,WR,0
MarquesColston,WR,0
NathanPalmer,WR,0
CobiHamilton,WR,0
IssacBlakeney,WR,0
AntwanGoodley,WR,0
FreddieMartino,WR,0
JoshBoyce,WR,-1.7
AdrianPeterson,RB,221.1
ToddGurley,RB,215.9
DavidJohnson,RB,203
LamarMiller,RB,202.8
EzekielElliott,RB,202.3
Le'VeonBell,RB,197.5
JamaalCharles,RB,196.3
EddieLacy,RB,189.2
MarkIngram,RB,186.5
LeSeanMcCoy,RB,186.2
DevontaFreeman,RB,185.1
DougMartin,RB,179.4
C.J.Anderson,RB,167.1
CarlosHyde,RB,166.5
MattForte,RB,165.7
LataviusMurray,RB,162.8
DeMarcoMurray,RB,157
JonathanStewart,RB,154.9
ThomasRawls,RB,150.9
JeremyHill,RB,148.2
MelvinGordon,RB,144.1
RyanMathews,RB,139.8
GiovaniBernard,RB,139.7
FrankGore,RB,139.7
AmeerAbdullah,RB,139.3
JeremyLangford,RB,138.1
RashadJennings,RB,133.5
DukeJohnson,RB,133.2
LeGarretteBlount,RB,130.5
T.J.Yeldon,RB,128.7
ArianFoster,RB,127.5
DannyWoodhead,RB,127
MattJones,RB,125
ChrisIvory,RB,117.9
IsaiahCrowell,RB,117.5
CharlesSims,RB,111.3
DeAngeloWilliams,RB,106
ShaneVereen,RB,96.6
DerrickHenry,RB,95.5
TheoRiddick,RB,93.7
JayAjayi,RB,92.1
TevinColeman,RB,90
JustinForsett,RB,88.8
BilalPowell,RB,88.4
DarrenSproles,RB,85.4
DevontaeBooker,RB,84.9
JamesStarks,RB,82.8
JerickMcKinnon,RB,76.2
